name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,Unnamed: 0,Brand,Model.Number,Price,Photo,Engine.Type,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Clearance.in,Air.Conditioner,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Leather.Seats,Anti.Lock.Braking,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Night.Rear.View.Mirror,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Smoke.Headlamps,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Voice.Control,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp,Radio,Outside.Temperature.Display,Fog.Lights.Front...Back,Centrally.Mounted.Fuel.Tank,CD.Player,DVD.Player,Electric.Adjustable.Seats,Keyless.Entry,Tyre.Pressure.Monitor,Smart.Access.Card.Entry,Xenon.Headlamps,Halogen.Headlamps,Removable.Convertible.Top,Cassette.Player
,,,,,,,,,,,,,783.0,Jaguar,I-Pace 2023,71300.0,https://www.ccarprice.com/products/Jaguar_I-Pace_2023_SPecs.jpg,Permanent magnet synchronous motor (150 kW),SUV,Electric,Automatic,394.0,,512.0,,all,0.0,0.0,5.0,4.0,61.3,184.3,74.6,117.7,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,784.0,Jaguar,XF P250 S 2023,47000.0,https://www.ccarprice.com/products/Jaguar_XF_Sedan_2023.jpg,2.0L Turbo Inline-4 Gas,Sedan,Petrol,Automatic,246.0,2.0,269.0,4.0,rear,25.0,33.0,5.0,4.0,57.3,195.4,78.0,116.5,5.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,Yes,,,,
,,,,,,,,,,,,,785.0,Jaguar,I-Pace HSE 2023,71300.0,https://www.ccarprice.com/products/Jaguar_I_Pace_HSE_2023.jpg,Electric,SUV,Electric,Automatic,394.0,,512.0,,all,0.0,0.0,5.0,4.0,61.3,184.3,74.6,117.7,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,,,
,,,,,,,,,,,,,786.0,Jaguar,I Pace 2023,71300.0,https://www.ccarprice.com/products/Jaguar_I_Pace_2023.jpg,Permanent magnet synchronous motor (150 kW),SUV,Electric,Automatic,394.0,,512.0,,all,0.0,0.0,5.0,4.0,61.3,184.3,74.6,117.7,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,787.0,Jaguar,I Pace 2022,69900.0,https://www.ccarprice.com/products/Jaguar_I_Pace_2022.jpg,Electric,SUV,Electric,Automatic,349.0,,512.0,,all,0.0,0.0,5.0,4.0,61.6,184.3,84.2,117.7,6.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,
,,,,,,,,,,,,,788.0,Jaguar,F Type P450 2023,76700.0,https://www.ccarprice.com/products/Jaguar_F_Type_P450_2023_1.jpg,5.0L Supercharged V8 Gas,Convertible,Petrol,Automatic,444.0,5.0,428.0,8.0,rear,17.0,24.0,5.0,4.0,51.5,176.0,74.2,103.2,4.1,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,
,,,,,,,,,,,,,789.0,Jaguar,I Pace,69900.0,https://www.ccarprice.com/products/Jaguar_I_Pace.jpg,Permanent magnet synchronous motor x2 200 PS (150 kW),SUV,Electric,Automatic,,,,,all,0.0,0.0,5.0,4.0,63.0,187.0,86.0,120.0,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,790.0,Jaguar,F-Type P450 R-Dynamic Coupe 2023,83900.0,https://www.ccarprice.com/products/Jaguar_F_Type_P450_R_Dynamic_Coupe_2023.jpg,5.0L Supercharged V8 Gas,Convertible,Petrol,Automatic,444.0,5.0,428.0,8.0,all,16.0,24.0,2.0,2.0,51.6,176.0,74.2,103.2,4.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,,,,
,,,,,,,,,,,,,791.0,Jaguar,I-Pace EV400 2022,85540.0,https://www.ccarprice.com/products/Jaguar_I_Pace_EV400_2022_1.jpg,Electric,SUV,Electric,Automatic,394.0,,515.0,,all,0.0,0.0,5.0,4.0,61.6,184.3,79.1,117.7,6.3,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,792.0,Jaguar,F-Type P450 R-Dynamic Convertible 2022,83000.0,https://www.ccarprice.com/products/Jaguar_F-Type_P450_R-Dynamic_Convertible_2022.jpg,5.0L Supercharged V8 Gas,,Petrol,Automatic,444.0,5.0,428.0,8.0,all,16.0,24.0,2.0,2.0,51.5,176.0,74.2,103.2,4.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,,,,
